"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Correct Button","Response Time","Inter Time Interval"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","470","1","401.7900228500366","630"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","1","310","0","N/A","630"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","1","350","0","N/A","630"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","500","1","398.2130289077759","500"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","490","1","462.72599697113037","500"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","1","480","0","N/A","500"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","520","0","520","520"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","560","1","424.5489835739136","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","550","1","398.6639976501465","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","540","1","446.39700651168823","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","520","1","429.58199977874756","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","480","1","462.12196350097656","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","1","400","0","N/A","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","1","440","0","N/A","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","480","1","464.1929864883423","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","470","1","412.6409888267517","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","1","460","0","N/A","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","500","1","430.774986743927","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","490","1","362.04004287719727","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","1","480","0","N/A","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","520","1","430.46802282333374","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","510","1","244.96901035308838","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Left","0","500","1","381.8340301513672","560"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Right","0","500","0","500","500"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Right","0","540","1","330.97296953201294","540"
"53e1a34db6145ead430923a0","BLUE-00052","2014-08-05T20:38:53-0700",,"FEMALE","RIGHT","2014-08-05T20:35:13-0700","Right","0","530","1","377.2139549255371","540"
