"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Position Is Top","Response Window","Correct Button","Response Time"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","820","1","604.3660044670105"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","800","1","772.8049755096436"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","760","1","640.8100128173828"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","680","1","640.0669813156128"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","520","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","520","0","734.5149517059326"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","560","0","59.03202295303345"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","600","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","600","0","686.1460208892822"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","640","0","803.3100366592407"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","680","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","680","1","639.1550302505493"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","670","0","670.7350015640259"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","710","0","736.6260290145874"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","750","0","786.825954914093"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","830","1","605.072021484375"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","820","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","820","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","820","1","817.0729875564575"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","810","1","704.9490213394165"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","790","1","689.8320317268372"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","750","1","738.5150194168091"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","670","0","703.354001045227"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","710","1","654.213011264801"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","700","0","737.3299598693848"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","740","1","620.5160021781921"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"0","600","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"0","600","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","600","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","640","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","680","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","760","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","920","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","1240","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","1880","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3160","1","1798.3710169792175"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3150","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3190","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3230","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3310","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"0","3470","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3470","0","N/A"
"54a44e80b6145e7a3db2048d","GREEN-09903","2014-12-31T11:29:03-0800",,,,"2014-12-31T11:27:44-0800","Sustained",,"1","3510","0","N/A"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Impulsive",,"0","600","1","N/A"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Impulsive",,"1","590","0","N/A"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Impulsive",,"0","630","1","N/A"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Impulsive",,"1","620","1","490.9999966621399"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Impulsive",,"0","610","1","N/A"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Sustained",,"0","600","1","N/A"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Sustained",,"1","590","1","373.6400008201599"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Sustained",,"1","580","1","481.49800300598145"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Sustained",,"1","570","1","464.99401330947876"
"538b7597b6145ede463b63cd","GREEN-00017","2014-06-01T11:48:56-0700","Joaq email","MALE","RIGHT","2014-06-01T11:48:09-0700","Sustained",,"1","560","1","530.7139754295349"
"538d5f65b6145e34453b63d2","BLUE-00044","2014-06-02T22:38:45-0700","Joaq email","MALE","RIGHT","2014-06-02T22:38:13-0700","Impulsive",,"0","600","1","N/A"
"538d5f65b6145e34453b63d2","BLUE-00044","2014-06-02T22:38:45-0700","Joaq email","MALE","RIGHT","2014-06-02T22:38:13-0700","Sustained",,"0","600","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","600","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","600","1","367.4600124359131"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","590","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","590","1","374.90200996398926"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","580","0","167.0910120010376"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","620","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","620","1","456.9520354270935"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","610","1","449.16701316833496"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","600","1","465.8900499343872"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","580","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","580","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","580","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","580","1","434.5579743385315"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","540","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","540","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","540","1","421.45299911499023"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","460","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","460","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","460","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","460","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","460","1","N/A"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"1","460","1","366.28997325897217"
"53aa11e6b6145edd371cb2f2","GREEN-09998","2014-06-24T17:03:49-0700",,"MALE","LEFT","2014-06-24T16:59:37-0700","Impulsive",,"0","300","1","N/A"
