"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Correct Selection","Same Face","Response Time","Time Interval"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","0","1018.1779861450195","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"0","0","1","434.7990155220032","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"0","0","1","898.730993270874","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"0","1","0","1016.086995601654","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"0","0","0","725.5710363388062","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"0","0","1","803.227961063385","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"0","1","0","511.6569995880127","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","No Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"0","0","1","671.0529923439026","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"0","1","1","863.9140129089355","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"0","0","1","948.0909705162048","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"0","0","1","522.1530199050903","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"0","0","1","658.0460071563721","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"0","1","0","948.406994342804","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Age Interruption",,"1","0","1","N/A","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","0","0","646.4589834213257","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","0","956.218957901001","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","0","671.4449524879456","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","0","0","587.9600048065186","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","0","1","723.8979935646057","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","1","854.0860414505005","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","0","624.2920160293579","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","0","1","688.5939836502075","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","1","814.9799704551697","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","1","629.6890377998352","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","1","976.4469861984253","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","0","0","772.1400260925293","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","0","676.8230199813843","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","0","1","672.0390319824219","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","Ignore Distraction",,"0","1","1","810.8600378036499","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","No Distraction",,"0","0","0","792.2599911689758","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","No Distraction",,"0","1","1","640.3329968452454","5000"
"53ee9e7bb6145efe03ef3afe","BLUE-00064","2014-08-15T16:57:46-0700",,"FEMALE","RIGHT","2014-08-15T16:49:23-0700","No Distraction",,"0","1","1","667.1039462089539","5000"
